"var"	"tipo"	"nulo"	"llave"	"valor"
"CMUN"	"D"	"NA"	"22158"	"Monzón"
"CMUN"	"D"	"NA"	"23002"	"Alcalá la Real"
"CMUN"	"D"	"NA"	"23003"	"Alcaudete"
"CMUN"	"D"	"NA"	"23005"	"Andújar"
"CMUN"	"D"	"NA"	"23009"	"Baeza"
"CMUN"	"D"	"NA"	"23010"	"Bailén"
"CMUN"	"D"	"NA"	"23024"	"Carolina, La"
"CMUN"	"D"	"NA"	"23050"	"Jaén"
"CMUN"	"D"	"NA"	"23053"	"Jódar"
"CMUN"	"D"	"NA"	"23055"	"Linares"
"CMUN"	"D"	"NA"	"23058"	"Mancha Real"
"CMUN"	"D"	"NA"	"23060"	"Martos"
"CMUN"	"D"	"NA"	"23086"	"Torredelcampo"
"CMUN"	"D"	"NA"	"23087"	"Torredonjimeno"
"CMUN"	"D"	"NA"	"23092"	"Úbeda"
"CMUN"	"D"	"NA"	"23095"	"Villacarrillo"
"CMUN"	"D"	"NA"	"24008"	"Astorga"
"CMUN"	"D"	"NA"	"24010"	"Bañeza, La"
"CMUN"	"D"	"NA"	"24089"	"León"
"CMUN"	"D"	"NA"	"24115"	"Ponferrada"
"CMUN"	"D"	"NA"	"24142"	"San Andrés del Rabanedo"
"CMUN"	"D"	"NA"	"24222"	"Villaquilambre"
"CMUN"	"D"	"NA"	"25040"	"Balaguer"
"CMUN"	"D"	"NA"	"25120"	"Lleida"
"CMUN"	"D"	"NA"	"25137"	"Mollerussa"
"CMUN"	"D"	"NA"	"25203"	"Seu d'Urgell, La"
"CMUN"	"D"	"NA"	"25217"	"Tàrrega"
"CMUN"	"D"	"NA"	"26018"	"Arnedo"
"CMUN"	"D"	"NA"	"26036"	"Calahorra"
"CMUN"	"D"	"NA"	"26071"	"Haro"
"CMUN"	"D"	"NA"	"26089"	"Logroño"
"CMUN"	"D"	"NA"	"27028"	"Lugo"
"CMUN"	"D"	"NA"	"27031"	"Monforte de Lemos"
"CMUN"	"D"	"NA"	"27057"	"Sarria"
"CMUN"	"D"	"NA"	"27065"	"Vilalba"
"CMUN"	"D"	"NA"	"27066"	"Viveiro"
"CMUN"	"D"	"NA"	"28005"	"Alcalá de Henares"
"CMUN"	"D"	"NA"	"28006"	"Alcobendas"
"CMUN"	"D"	"NA"	"28007"	"Alcorcón"
"CMUN"	"D"	"NA"	"28009"	"Algete"
"CMUN"	"D"	"NA"	"28010"	"Alpedrete"
"CMUN"	"D"	"NA"	"28013"	"Aranjuez"
"CMUN"	"D"	"NA"	"28014"	"Arganda del Rey"
"CMUN"	"D"	"NA"	"28015"	"Arroyomolinos"
"CMUN"	"D"	"NA"	"28022"	"Boadilla del Monte"
"CMUN"	"D"	"NA"	"28026"	"Brunete"
"CMUN"	"D"	"NA"	"28040"	"Ciempozuelos"
"CMUN"	"D"	"NA"	"28045"	"Colmenar Viejo"
"CMUN"	"D"	"NA"	"28047"	"Collado Villalba"
"CMUN"	"D"	"NA"	"28049"	"Coslada"
"CMUN"	"D"	"NA"	"28054"	"Escorial, El"
"CMUN"	"D"	"NA"	"28058"	"Fuenlabrada"
"CMUN"	"D"	"NA"	"28061"	"Galapagar"
"CMUN"	"D"	"NA"	"28065"	"Getafe"
"CMUN"	"D"	"NA"	"28068"	"Guadarrama"
"CMUN"	"D"	"NA"	"28073"	"Humanes de Madrid"
"CMUN"	"D"	"NA"	"28074"	"Leganés"
"CMUN"	"D"	"NA"	"28079"	"Madrid"
"CMUN"	"D"	"NA"	"28080"	"Majadahonda"
"CMUN"	"D"	"NA"	"28083"	"Meco"
"CMUN"	"D"	"NA"	"28084"	"Mejorada del Campo"
